Rank,Year,Team,Points
1,2020,MI,18
2,2020,DC,14
3,2020,SRH,14
4,2020,RCB,14
5,2020,KKR,14
6,2020,KXI,12
7,2020,CSK,12
8,2020,RR,12
1,2019,MI,18
2,2019,CSK,18
3,2019,DC,18
4,2019,SRH,12
5,2019,KKR,12
6,2019,KXI,12
7,2019,RR,11
8,2019,RCB,11
1,2018,SRH,18
2,2018,CSK,18
3,2018,KKR,16
4,2018,RR,14
5,2018,MI,12
6,2018,RCB,12
7,2018,KXI,12
8,2018,DC,10
1,2017,MI,20
2,2017,RPS,18
3,2017,SRH,17
4,2017,KKR,16
5,2017,KXI,14
6,2017,DC,12
7,2017,GL,8
8,2017,RCB,7
1,2016,GL,18
2,2016,RCB,16
3,2016,SRH,16
4,2016,KKR,16
5,2016,MI,14
6,2016,DC,14
7,2016,RPS,10
8,2016,KXI,8
1,2015,CSK,18
2,2015,RCB,16
3,2015,RR,16
4,2015,MI,16
5,2015,KKR,15
6,2015,SRH,14
7,2015,DC,11
8,2015,KXI,6
1,2014,KXI,22
2,2014,KKR,18
3,2014,CSK,18
4,2014,MI,14
5,2014,RR,14
6,2014,SRH,12
7,2014,RCB,10
8,2014,DC,4
1,2013,CSK,22
2,2013,MI,22
3,2013,RR,20
4,2013,SRH,20
5,2013,RCB,18
6,2013,KXI,16
7,2013,KKR,12
8,2013,PW,8
9,2013,DC,6
1,2012,DC,22
2,2012,KKR,21
3,2012,MI,20
4,2012,CSK,17
5,2012,RCB,17
6,2012,KXI,16
7,2012,RR,14
8,2012,SRH,9
9,2012,PW,8
1,2011,RCB,19
2,2011,CSK,18
3,2011,MI,18
4,2011,KKR,16
5,2011,KXI,14
6,2011,RR,13
7,2011,SRH,12
8,2011,KTK,12
9,2011,PW,9
10,2011,DC,9
1,2010,MI,20
2,2010,SRH,16
3,2010,CSK,14
4,2010,RCB,14
5,2010,DC,14
6,2010,KKR,14
7,2010,RR,12
8,2010,KXI,8
1,2009,DC,20
2,2009,CSK,17
3,2009,RCB,16
4,2009,SRH,14
5,2009,KXI,14
6,2009,RR,13
7,2009,MI,11
8,2009,KKR,7
1,2008,RR,22
2,2008,KXI,20
3,2008,CSK,16
4,2008,DC,15
5,2008,MI,14
6,2008,KKR,13
7,2008,RCB,8
8,2008,SRH,4
